rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/explained_variance,train/loss,train/entropy_loss,train/value_loss,train/n_updates,train/clip_range
-27.639366149902344,6144,25.0,0,9045,1,,,,,,,,,,
-28.665685653686523,12288,25.0,2,5650,2,-0.006692264147811026,0.008718147,0.06329752604166666,0.0003,-0.1420048475265503,0.03134293109178543,-1.6033648792654276,0.2741650952065053,10,0.2
-28.292333602905273,18432,25.0,3,4994,3,-0.010133660650171804,0.009061628,0.09654947916666666,0.0003,-0.37012624740600586,-0.03890261799097061,-1.596243398139874,0.021378742537732857,20,0.2
-25.95553207397461,24576,25.0,5,4738,4,-0.00646800523706285,0.0070174118,0.051285807291666666,0.0003,-0.10465681552886963,-0.006363864988088608,-1.588529428342978,0.021168244208092803,30,0.2
-26.205350875854492,30720,25.0,6,4590,5,-0.008147679575631627,0.0072855004,0.06749674479166666,0.0003,0.06170237064361572,-0.00464266911149025,-1.567200600107511,0.017358452386785454,40,0.2
-26.849441528320312,36864,25.0,8,4505,6,-0.006360195473583493,0.006492702,0.043359375,0.0003,0.1216045618057251,-0.018444273620843887,-1.5548703679194054,0.016528632599511185,50,0.2
-28.9780216217041,43008,25.0,9,4438,7,-0.007081077700907675,0.0076884814,0.0515625,0.0003,0.17957931756973267,0.0037249336019158363,-1.5402726193269094,0.014643200402497314,60,0.2
-27.572134017944336,49152,25.0,11,4393,8,-0.0072009366339140495,0.0065813474,0.06487630208333334,0.0003,0.2912048101425171,-0.011181207373738289,-1.5207315233846506,0.011817769050442925,70,0.2
-25.991199493408203,55296,25.0,12,4358,9,-0.00918602988749626,0.007312354,0.06681315104166667,0.0003,0.23447686433792114,-0.03827006369829178,-1.5158467214554547,0.011663713123804579,80,0.2
-24.88817596435547,61440,25.0,14,4330,10,-0.007864370085978104,0.006781898,0.055810546875,0.0003,0.19170761108398438,-0.028285354375839233,-1.497797529771924,0.01018382916469515,90,0.2
-25.409019470214844,67584,25.0,15,4292,11,-0.009585755946318386,0.009156059,0.083544921875,0.0003,0.3445918560028076,0.011581389233469963,-1.4937014926224947,0.009952019892322521,100,0.2
-28.323863983154297,73728,25.0,17,4274,12,-0.00909610841505734,0.007295825,0.06878255208333334,0.0003,0.38062483072280884,0.009770534932613373,-1.463846652333935,0.00856686281816413,110,0.2
-25.498071670532227,79872,25.0,18,4260,13,-0.007821973981966343,0.006541194,0.06207682291666667,0.0003,0.33369094133377075,-0.019793573766946793,-1.4684678686161836,0.009434455268880508,120,0.2
-25.70025062561035,86016,25.0,20,4248,14,-0.009509333595633506,0.007925571,0.07776692708333334,0.0003,0.35842734575271606,0.0032971990294754505,-1.4373100437223911,0.007954449276682377,130,0.2
-24.020235061645508,92160,25.0,21,4237,15,-0.010931623589325075,0.00814952,0.08575846354166666,0.0003,0.48714858293533325,-0.018483925610780716,-1.4290747380505004,0.007350126087112585,140,0.2
-25.899263381958008,98304,25.0,23,4227,16,-0.011254041846647548,0.008247745,0.09597981770833333,0.0003,0.37702083587646484,-0.019499793648719788,-1.450605607032776,0.00725172834499972,150,0.2
-28.15723419189453,104448,25.0,24,4221,17,-0.00965180811836035,0.0069719986,0.06276041666666667,0.0003,0.4718465209007263,0.010746684856712818,-1.4149903256446124,0.006862329180633727,160,0.2
-25.81061553955078,110592,25.0,26,4214,18,-0.011324536226068934,0.007041357,0.07146809895833334,0.0003,0.49879395961761475,-0.020233385264873505,-1.421276992186904,0.007947654894329996,170,0.2
-25.028308868408203,116736,25.0,27,4207,19,-0.01175504639892703,0.0087407855,0.10021158854166666,0.0003,0.4981262683868408,-0.04232054576277733,-1.400429890677333,0.007428002927190392,180,0.2
-27.653709411621094,122880,25.0,29,4205,20,-0.008983720731824482,0.007983066,0.07386067708333334,0.0003,0.47737836837768555,-0.019418170675635338,-1.377923911685745,0.006865484987065429,190,0.2
-27.48006820678711,129024,25.0,30,4200,21,-0.012038912336235323,0.009448313,0.10104166666666667,0.0003,0.5392039716243744,0.009603445418179035,-1.3471299391239882,0.005428744858363643,200,0.2
-25.653026580810547,135168,25.0,32,4195,22,-0.012156161381669032,0.009252632,0.09436848958333334,0.0003,0.548386812210083,-0.005221672356128693,-1.3416694778949023,0.006538784798370519,210,0.2
-25.52574920654297,141312,25.0,33,4187,23,-0.0111217888140042,0.008865088,0.096142578125,0.0003,0.4798915386199951,-0.02056177146732807,-1.3195480526735386,0.006399239843691854,220,0.2
-25.894695281982422,147456,25.0,35,4183,24,-0.008782196721100869,0.0073349476,0.06580403645833334,0.0003,0.5700399279594421,-0.02841317653656006,-1.3095945109923681,0.006503742080288551,230,0.2
-24.99660873413086,153600,25.0,36,4183,25,-0.01054320639911263,0.007909055,0.07840169270833333,0.0003,0.5471152663230896,0.0013374794507399201,-1.2952552523463965,0.005817278625181643,240,0.2
-25.458572387695312,159744,25.0,38,4182,26,-0.010853399623495836,0.008188363,0.09166666666666666,0.0003,0.6247071921825409,-0.028622295707464218,-1.2618551241854827,0.004429565439204452,250,0.2
-27.132272720336914,165888,25.0,39,4175,27,-0.013065229336401292,0.008161962,0.09069010416666666,0.0003,0.6203169524669647,-0.0034631392918527126,-1.2514850859840712,0.004151159707665404,260,0.2
-25.078981399536133,172032,25.0,41,4167,28,-0.01162329121628621,0.007422825,0.08367513020833334,0.0003,0.5847574472427368,-0.023972243070602417,-1.2327915417651336,0.005180144832168784,270,0.2
