Wall time,Step,Value
1716029700.1563342,4,0.0
1716029715.9204009,14,0.0
1716029717.203907,15,0.0
1716029720.995114,18,0.0
1716029722.156062,19,0.0
1716029728.032768,22,0.0
1716029733.226204,26,0.0
1716029735.092742,27,0.0
1716029755.883023,40,0.0
1716029765.047907,47,0.0
1716029766.7577028,48,0.0
1716029768.485085,49,0.0
1716029776.537049,54,0.0
1716029789.6311622,62,0.0
1716029791.342069,63,0.0
1716029796.175002,66,0.0
1716029797.7247622,67,0.0
1716029802.693991,70,0.0
1716029804.125581,71,0.10000000149011612
1716029812.218285,77,0.0
1716029820.112409,82,0.0
1716029830.77879,89,0.0
1716029846.6054,99,0.0
1716029853.721133,103,0.0
1716029858.302509,106,0.0
1716029859.849566,107,0.0
1716029872.9231591,116,0.0
1716029880.66488,121,0.10000000149011612
1716029886.898498,125,0.0
1716029888.453516,126,0.0
1716029891.672925,128,0.0
1716029895.266817,130,0.0
1716029904.0848808,136,0.0
1716029905.4309309,137,0.0
1716029916.0880919,144,0.0
1716029919.19809,146,0.0
1716029920.579655,147,0.0
1716029924.888237,150,0.0
1716029935.1340458,157,0.0
1716029939.9071739,160,0.0
1716029942.528316,162,0.0
1716029945.2265139,164,0.0
1716029956.054852,171,0.0
1716029957.421676,172,0.0
1716029964.011261,177,0.0
1716029975.085272,184,0.0
1716029976.6260202,185,0.0
1716029978.3766122,186,0.0
1716029984.360547,190,0.0
1716029985.891537,191,0.0
1716029987.442752,192,0.0
1716029997.4892218,199,0.0
1716030002.1074638,202,0.0
1716030003.3015099,203,0.0
1716030004.205025,204,0.0
1716030005.418732,205,0.0
1716030008.3263612,207,0.0
1716030014.40881,211,0.0
1716030017.011616,213,0.0
1716030020.0456882,215,0.0
1716030028.1033301,220,0.0
1716030029.7890508,221,0.0
1716030034.4404778,224,0.0
1716030042.182327,229,0.0
1716030064.765718,244,0.0
1716030066.687686,245,0.0
1716030068.401667,246,0.0
1716030086.123841,258,0.0
1716030087.6760929,259,0.10000000149011612
1716030089.5439382,260,0.0
1716030107.045532,271,0.0
1716030111.987107,274,0.0
1716030114.6164532,276,0.0
1716030117.2571409,278,0.0
1716030123.439789,282,0.0
1716030127.513877,285,0.0
1716030131.2949,288,0.10000000149011612
1716030134.9254432,290,0.0
1716030142.702337,295,0.0
1716030145.5593321,297,0.0
1716030147.2005591,298,0.0
1716030157.684556,306,0.0
1716030160.413572,308,0.0
1716030167.231485,312,0.0
1716030172.7317219,316,0.0
1716030175.336053,318,0.10000000149011612
1716030177.0307782,319,0.0
1716030181.4923232,322,0.10000000149011612
1716030201.2905889,337,0.10000000149011612
1716030202.140061,338,0.0
1716030208.661802,343,0.0
1716030211.244473,345,0.0
1716030212.62897,346,0.0
1716030222.221167,352,0.10000000149011612
1716030224.6879911,354,0.10000000149011612
1716030230.202761,358,0.0
1716030238.211979,364,0.0
1716030239.752741,365,0.0
1716030240.796797,366,0.0
1716030242.1314309,367,0.10000000149011612
1716030257.800889,378,0.20000000298023224
1716030269.004069,386,0.10000000149011612
1716030274.8496509,390,0.0
1716030277.192567,392,0.20000000298023224
1716030283.555306,397,0.0
1716030290.6634848,402,0.20000000298023224
1716030292.641408,404,0.0
1716030307.0266812,415,0.0
1716030316.469162,421,0.0
1716030317.634455,422,0.10000000149011612
1716030322.95398,426,0.20000000298023224
1716030337.024884,436,0.0
1716030338.754119,437,0.20000000298023224
1716030340.878456,439,0.10000000149011612
1716030346.523961,443,0.0
1716030347.526613,444,0.0
1716030350.104039,446,0.0
1716030355.799969,450,0.0
1716030358.374146,452,0.20000000298023224
1716030363.81968,456,0.20000000298023224
1716030370.87427,461,0.0
1716030375.064019,465,0.0
1716030379.71855,468,0.20000000298023224
1716030382.143281,470,0.0
1716030387.1450539,474,0.0
1716030388.6669598,475,0.0
1716030395.644767,480,0.0
1716030397.208694,481,0.0
1716030404.968194,487,0.10000000149011612
1716030407.867293,489,0.20000000298023224
1716030414.649835,494,0.10000000149011612
1716030419.749783,498,0.20000000298023224
